VIEJO	NUEVO	NOTA	FLAG	DESC_CABECERA
v80e_memorias_duales_olvido_invertido.py	v080e_memorias_duales_olvido_invertido.py	lower->repad		Memorias duales con olvido invertido
v80f_seleccion_interna.py	v080f_seleccion_interna.py	lower->repad		Selección interna por eficiencia de régimen
v80g_seleccion_interna.py	v080g_seleccion_interna.py	lower->repad		Selección interna por eficiencia (sin piso de olvido)
v80h_seleccion_interna.py	v080h_seleccion_interna.py	lower->repad		Selección interna por eficiencia con amplificación no lineal
v81_campo_expandido.py	v081_campo_expandido.py	lower->repad		Campo expandido con ganglio coordinador
v82_acoplamiento_activo.py	v082_acoplamiento_activo.py	lower->repad		Acoplamiento activo: entrada estéreo real, actuación cualita
v83_orientacion_activa.py	v083_orientacion_activa.py	lower->repad		Orientación activa con entrada binaural real
v84_campo_diferencial.py	v084_campo_diferencial.py	lower->repad		Campo diferencial: act_busc como órgano de gradiente L-R
v84b_campo_diferencial.py	v084b_campo_diferencial.py	lower->repad		Campo diferencial: correcciones de signo y orientación
v85_decision_interna.py	v085_decision_interna.py	lower->repad		Decisión interna: act_busc como integrador de coherencia
v86_loop_cerrado.py	v086_loop_cerrado.py	lower->repad		Loop cerrado: forzamiento dirigido act_busc → G
v87_coherencia_dirigida.py	v087_coherencia_dirigida.py	lower->repad		Coherencia espectral dirigida y protocolo completo
v89_gradiente_canonico.py	v089_gradiente_canonico.py	lower->repad		Gradiente energético canónico y act_geom con escala propia
v90_protocolo_ciclico.py	v090_protocolo_ciclico.py	lower->repad		Protocolo cíclico: 100 ciclos de 13 fases
v91_capa1_accion_A.py	v091_capa1_accion_A.py	lower->repad		Capa 1: cierre del ciclo D→R→Acción→A
v92_respuesta_orientacion.py	v092_respuesta_orientacion.py	lower->repad		Respuesta de orientación Ω_orient
v97.2.py	v097_2_bigbang_diagnostico_post_entrenamiento.py	override-explicito		
v97.3.py	v097_3_bigbang_entrenamiento_extendido_232s.py	override-explicito		
vstcosmo_entrada_estructurada.py	v006b_entrada_estructurada_por_amplitud.py	override-explicito		
vstcosmo_historia_diferencial.py	v006c_campo_inestabilidad_simetrica.py	override-explicito		
vstcosmo_nucleo_minimo.py	v006_nucleo_minimo.py	override-explicito		
vstcosmo_v10_supresion.py	v010_supresion.py	vstcosmo_vN_		Experimento v10: Supresión de Inestabilidad
vstcosmo_v11_pastor.py	v011_pastor.py	vstcosmo_vN_		Experimento v11: Pastor Cosmosemiótico
vstcosmo_v12_campo_permeable.py	v012_campo_permeable.py	vstcosmo_vN_		Experimento v12: Campo Permeable por Diseño
vstcosmo_v7_con_mapas.py	v007_con_mapas.py	vstcosmo_vN_		Experimento v7 con mapas espaciales
vstcosmo_v7_controles_reales.py	v007_controles_reales.py	vstcosmo_vN_		Experimento v7 con múltiples entradas
vstcosmo_v7_ganancia_0.2.py	v007_ganancia_0_2.py	vstcosmo_vN_		Experimento v7 con GANANCIA_INEST = 0.2
vstcosmo_v7_inestabilidad_con_acoplamiento.py	v007_inestabilidad_con_acoplamiento.py	vstcosmo_vN_		Experimento v7
vstcosmo_v8_inercia_direccional.py	v008_inercia_direccional.py	vstcosmo_vN_		Experimento v8: Inercia Direccional
vstcosmo_v8_suelto.py	v008_suelto.py	vstcosmo_vN_		Experimento v8: Suelto y Ruidoso
vstcosmo_v9_reconfiguracion.py	v009_reconfiguracion.py	vstcosmo_vN_		Experimento v9: Reconfiguración del Campo
